Camp,Block,Zone,Revenue Village,Latitude,Longitude,Location GMAPS
Chaali Bilwada,Badgaon,Bagrunda,Chaali,24 36.420 N,73 20.419 E,24 36.420 N 73 20.419 E
Anejhra Phala,Badgaon,Bagrunda,Undithal,24 34.559 N,73 29.367 E,24 34.559 N 73 29.367 E
Kotri Kheda,Badgaon,Bagrunda,Pattiya,24 40.576 N,73 29.321 E,24 40.576 N 73 29.321 E
Mohan Dungri,Girwa,Parsad,Mohan Dungri,24 13.248 N,73 38.390 E,24 13.248 N 73 38.390 E
Bedakudi,Girwa,Parsad,Sarupal,24 11.958 N,73 37.500 E,24 11.958 N 73 37.500 E
Haylikudi,Girwa,Parsad,Haylikudi,24 10.670 N,73 38.365 E,24 10.670 N 73 38.365 E
Bhagwad Phala,Kotra,Kotra,Kaucha,24 27.323 N,73 13.934 E,24 27.323 N 73 13.934 E
Beri Phala,Kotra,Sada,Sawan Kyara,24 13.244 N,73 07.473 E,24 13.244 N 73 07.473 E
Bor Phala,Kotra,Patharpadi,Dhedmariya,24 22.912 N,73 12.755 E,24 22.912 N 73 12.755 E
Kakan Gadawan,Kherwara,Sagwada,Aamba,24 11.992 N,73 31.230 E,24 11.992 N 73 31.230 E
Demat,Kherwara,Dabaycha,Demat,23.49.317 N,73 23.669 E,23.49.317 N 73 23.669 E
Bhakra,Kherwara,Bawalwada,Dharti Mata,24 07.761 N,73 27.122 E,24 07.761 N 73 27.122 E
