Camp,Block,Zone,Revenue Village,Latitude,Longitude,Location GMAPS
Chaali Bilwada,Badgaon,Bagrunda,Chaali,24.36420 N,73.20419 E,24 36.420 N 73 20.419 E
Anejhra Phala,Badgaon,Bagrunda,Undithal,24.34559 N,73.29367 E,24 34.559 N 73 29.367 E
Kotri Kheda,Badgaon,Bagrunda,Pattiya,24.40576 N,73.29321 E,24 40.576 N 73 29.321 E
Mohan Dungri,Girwa,Parsad,Mohan Dungri,24.13248 N,73.38390 E,24 13.248 N 73 38.390 E
Bedakudi,Girwa,Parsad,Sarupal,24.11958 N,73.37500 E,24 11.958 N 73 37.500 E
Haylikudi,Girwa,Parsad,Haylikudi,24.10670 N,73.38365 E,24 10.670 N 73 38.365 E
Bhagwad Phala,Kotra,Kotra,Kaucha,24.27323 N,73.13934 E,24 27.323 N 73 13.934 E
Beri Phala,Kotra,Sada,Sawan Kyara,24.13244 N,73.07473 E,24 13.244 N 73 07.473 E
Bor Phala,Kotra,Patharpadi,Dhedmariya,24.22912 N,73.12755 E,24 22.912 N 73 12.755 E
Aamba,Kherwara,Sagwada,Kakan Gadwan,24.11992 N,73.31230 E,24 11.992 N 73 31.230 E
Demat,Kherwara,Dabaycha,Demat,23.49317 N,73.23669 E,23.49.317 N 73 23.669 E
Dharti Mata,Kherwara,Bawalwada,Bhakra,24.07761 N,73.27122 E,24 07.761 N 73 27.122 E
Magra,Kherwara,Bawalwada,Magra,23.06277 N,73.23414 E,
Talab Phala,Kherwara,Kalyanpur,Chorai,24.01029 N,73.43917 E,
Karji,Kherwara,Kalyanpur,Karji,24.02334 N,73.45683 E,
Ubriavari,Kherwara,Sagwada,Dama Talab,24.08395 N,73.32658 E,
Damor Phala,Kherwara,Dabaycha,Baleecha,23.52060 N,73.26676 E,
Beda,Kherwara,Bawalwada,Beda,24.05983 N,73.28702 E,
Chokda,Kherwara,Suveri,Pareda,24.10186 N,73.35460 E,
Rawla ,Kherwara,Suveri,Pareda,24.10186 N,73.35460 E,
Nichla,Kherwara,Dabaycha,Jhanjhri,23.50932 N,73.22061 E,
Gaduniya,Kherwara,Dabaycha,Gaduniya,23.50542 N,73.25551 E,
Raaya,Kherwara,Sagwada,Sagwada Paal,24.08729 N,73.30856 E,
Nala Pipla,Kherwara,Sagwada,Nala Pipla,24.07992 N,73.31691 E,
Bichla Phala,Kherwara,Suveri,Vanibhor,24.04758 N,73.33177 E,
Upla Phala,Kherwara,Sagwada,Magra,24.11259 N,73.33922 E,
Paaliya,Kherwara,Suveri,Paaliya,24.04205 N,73.36800 E,
Naalkawas,Badgaon,Bagrunda,Chaali,24.35962 N,73.30360 E,
Maada Dang,Badgaon,Bagrunda,Maada,24.37514 N,73.30678 E,
Dagal Bhatda,Girwa,Parsad,Sarupal,24.11491 N,73.36514 E,
Dabban,Girwa,Parsad,Haylikudi,24.09892 N,73.37701 E,
Lahadura,Girwa,Pattiya,Paduna,24.17851 N,73.39342 E,
Aamba Ka Vela,Girwa,Sheeshwi,Pindoliya,24.31010 N,73.29367 E,
Paoti Phala,Kotra,Bikarni,Paoti Khurd,24.37694 N,73.12826 E,
Ada Dhoka,Kotra,Sada,Dehri,24.12962 N,73.08570 E,
Aamliya Phala,Kotra,Patharpadi,Dhedmariya,24.22912 N,73.12755 E,
Maldar Khurd,Kotra,Kotra,Malad Khurd,24.25482 N,73.15051 E,
Talab Bhamra,Kotra,Kotra,Beelwan,24.23401 N,73.13568 E,
Gamaro Ka Phala,Kotra,Kotra,Upli Subri,24.24092 N,73.10075 E,
Kundal Phala ,Kotra,Mamer,Dotar,24.07084 N,73.10870 E,
Aamli Chapar,Kotra,Bikarni,Gura,24.35687 N,73.12468 E,
Nichli Borli,Kotra,Bikarni,Borli,24.35054 N,73.11677 E,
Kada Phala,Kotra,Sada,Rajpur ,24.15056 N,73.05897 E,
Kundiya Phala,Kotra,Sada,Balicharni,24.14481 N,73.06416 E,
Bhim Talai,Kotra,Sada,Bhim Talai,24.10490 N,73.10826 E,
Kakra Pana,Kotra,Mamer,Jher,24.05847 N,73.12627 E,
